audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status,_source_file,_batch_id,incident_id,incident_date,incident_type,severity,description,root_cause,response_time_hours,decision,decision_reason
,SITE-006,,,87.6,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02127,2026-10-08T00:00:00Z,Equipment Failure,,Own paper paper speech politics ok red among oil least seek race.,Third-party Damage,18.5,rejected,hard rule failure: no_future_incidents
,SITE-002,,,63.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00483,2026-09-12T00:00:00Z,Near Miss,High,Structure morning those look every class sign what.,Third-party Damage,10.0,rejected,hard rule failure: no_future_incidents
,SITE-005,,,49.3,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01418,2026-11-04T00:00:00Z,Equipment Failure,High,Thus mention next employee off you conference bill.,Operator Error,3.1,rejected,hard rule failure: no_future_incidents
,SITE-005,,,80.1,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00496,2026-08-10T00:00:00Z,Equipment Failure,Medium,Tree get need today tough.,Valve Failure,5.4,rejected,hard rule failure: no_future_incidents
,SITE-003,,,82.6,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05832,2026-08-28T00:00:00Z,Fire,Medium,Sort quickly follow market eight letter though.,Operator Error,17.6,rejected,hard rule failure: no_future_incidents
,SITE-002,,,62.9,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02757,2026-07-31T00:00:00Z,Near Miss,High,Bed gun air race actually well foot fight wonder physical cold consider seek.,Corrosion,9.3,rejected,hard rule failure: no_future_incidents
,SITE-004,,,78.4,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05441,2026-08-04T00:00:00Z,Equipment Failure,Medium,Control billion president baby local reveal serious inside reality likely.,,9.9,rejected,hard rule failure: no_future_incidents
,SITE-004,,,72.9,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05997,2026-09-27T00:00:00Z,Near Miss,Medium,Goal feeling professional sense board realize white indicate away.,Third-party Damage,1.9,rejected,hard rule failure: no_future_incidents
,SITE-006,,,64.0,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02818,2026-08-26T00:00:00Z,Equipment Failure,Medium,Choose budget now material its staff I police paper indeed clearly pass listen collection.,Operator Error,4.1,rejected,hard rule failure: no_future_incidents
,SITE-001,,,70.2,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00319,2026-10-04T00:00:00Z,Leak,Medium,Never kid one arm return cut.,Material Fatigue,4.9,rejected,hard rule failure: no_future_incidents
,SITE-004,,,68.0,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04324,2026-08-04T00:00:00Z,Near Miss,Medium,Financial I here fish movement contain lawyer full unit discover draw edge.,Material Fatigue,3.0,rejected,hard rule failure: no_future_incidents
,SITE-005,,,53.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04050,2026-08-09T00:00:00Z,Fire,Critical,New just agreement actually owner share before might list rich sense others director cost talk mother red major.,Corrosion,2.2,rejected,hard rule failure: no_future_incidents
,SITE-003,,,73.5,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04341,2026-08-19T00:00:00Z,Leak,Medium,Method enjoy turn father senior total cell.,Operator Error,17.0,rejected,hard rule failure: no_future_incidents
,SITE-005,,,85.6,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04919,2026-08-23T00:00:00Z,Near Miss,Low,Weight skin morning media participant outside have west ground compare.,Third-party Damage,7.6,rejected,hard rule failure: no_future_incidents
,SITE-002,,,76.4,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03019,2026-09-13T00:00:00Z,Leak,Medium,Simply guy material personal others million big wear wife front.,Operator Error,2.6,rejected,hard rule failure: no_future_incidents
,SITE-003,,,78.3,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05648,2026-07-24T00:00:00Z,Leak,High,Participant business impact ground address test create ground produce career must entire book improve move campaign present act.,Third-party Damage,8.6,rejected,hard rule failure: no_future_incidents
,SITE-004,,,90.6,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03869,2026-10-10T00:00:00Z,Near Miss,Low,Turn hundred design run serious it way old interesting themselves soon option.,,6.6,rejected,hard rule failure: no_future_incidents
,SITE-006,,,47.2,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04564,2026-10-02T00:00:00Z,Spill,High,However military help organization side get make safe line.,Sensor Malfunction,3.3,rejected,hard rule failure: no_future_incidents
,SITE-003,,,68.5,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00048,2026-10-20T00:00:00Z,Equipment Failure,Medium,Yes relate sea family attorney or look choice account personal role specific loss.,Operator Error,10.6,rejected,hard rule failure: no_future_incidents
,SITE-005,,,93.2,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05080,2026-10-14T00:00:00Z,Equipment Failure,Low,Rock chair walk response save help other them others boy option foot old war culture by food science budget.,,7.5,rejected,hard rule failure: no_future_incidents
,SITE-006,,,64.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05069,2026-09-07T00:00:00Z,Spill,High,Turn lose population minute just senior where woman religious natural.,Material Fatigue,4.6,rejected,hard rule failure: no_future_incidents
,SITE-006,,,65.0,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03099,2026-09-16T00:00:00Z,Leak,Medium,Total run note movement meet space.,Corrosion,3.5,rejected,hard rule failure: no_future_incidents
,SITE-002,,,98.4,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00771,2026-10-07T00:00:00Z,Spill,Low,Tax suggest not live stay after make pressure.,Sensor Malfunction,3.1,rejected,hard rule failure: no_future_incidents
,SITE-002,,,86.3,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01360,2026-10-18T00:00:00Z,Equipment Failure,Low,Gas thank open such thing market cup again organization beautiful history.,Third-party Damage,17.4,rejected,hard rule failure: no_future_incidents
,SITE-004,,,70.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05772,2026-09-24T00:00:00Z,Leak,Medium,Glass must ok commercial party rise be air community.,Operator Error,12.0,rejected,hard rule failure: no_future_incidents
,SITE-005,,,77.5,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02671,2026-08-05T00:00:00Z,Near Miss,Medium,Suffer certain budget young eat alone seek hour challenge current foreign player hold conference.,Corrosion,4.3,rejected,hard rule failure: no_future_incidents
,SITE-003,,,72.7,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01403,2026-09-07T00:00:00Z,Leak,Medium,Loss nation old.,Sensor Malfunction,2.7,rejected,hard rule failure: no_future_incidents
,SITE-001,,,67.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05784,2026-09-07T00:00:00Z,Near Miss,Medium,Stock wide choice people really now hold accept industry memory whole again win attorney.,Valve Failure,4.7,rejected,hard rule failure: no_future_incidents
,SITE-003,,,47.8,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05362,2026-09-22T00:00:00Z,Spill,High,Care lawyer fall moment remember give article north concern reveal.,Material Fatigue,6.5,rejected,hard rule failure: no_future_incidents
,SITE-006,,,22.1,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00714,2026-10-17T00:00:00Z,Equipment Failure,Critical,Fund general recognize past scene federal page television.,Material Fatigue,4.8,rejected,hard rule failure: no_future_incidents
,SITE-001,,,65.8,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05967,2026-10-02T00:00:00Z,Leak,High,Pick traditional school third officer not voice nature American thought friend she.,Sensor Malfunction,1.5,rejected,hard rule failure: no_future_incidents
,SITE-003,,,66.2,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02798,2026-08-08T00:00:00Z,Spill,High,Interesting anyone my several usually those need.,Third-party Damage,4.1,rejected,hard rule failure: no_future_incidents
,SITE-001,,,52.7,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04275,2026-10-20T00:00:00Z,Equipment Failure,High,Too form occur town house land usually book different environment suddenly authority simply model dog offer another food.,Valve Failure,2.8,rejected,hard rule failure: no_future_incidents
,SITE-006,,,48.1,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01333,2026-09-30T00:00:00Z,Near Miss,Critical,Space manage into focus interest painting artist.,Valve Failure,10.5,rejected,hard rule failure: no_future_incidents
,SITE-001,,,94.1,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03503,2026-08-29T00:00:00Z,Equipment Failure,Low,Grow agree say add word college see decide room share tonight time wind wait woman.,Valve Failure,4.7,rejected,hard rule failure: no_future_incidents
,SITE-001,,,62.1,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03588,2026-09-28T00:00:00Z,Near Miss,High,Staff activity value support find indeed season model something conference responsibility form three part.,Third-party Damage,1.6,rejected,hard rule failure: no_future_incidents
,SITE-004,,,77.4,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03352,2026-09-17T00:00:00Z,Equipment Failure,Low,Million really hospital trip determine strong.,Operator Error,10.7,rejected,hard rule failure: no_future_incidents
,SITE-006,,,78.3,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01656,2026-10-08T00:00:00Z,Spill,Medium,Quality employee develop make image to about pull until memory budget.,Sensor Malfunction,3.0,rejected,hard rule failure: no_future_incidents
,SITE-002,,,42.1,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05806,2026-08-22T00:00:00Z,Spill,Critical,Successful evening say professional he structure apply interesting determine type like.,Third-party Damage,4.0,rejected,hard rule failure: no_future_incidents
,SITE-002,,,73.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05387,2026-10-07T00:00:00Z,,Medium,Thought or truth kitchen better also.,Valve Failure,10.1,rejected,hard rule failure: no_future_incidents
,SITE-006,,,47.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02531,2026-10-06T00:00:00Z,Leak,High,Successful meet article middle concern early amount enough develop like whether question.,Corrosion,6.2,rejected,hard rule failure: no_future_incidents
,SITE-003,,,33.4,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02401,2026-10-09T00:00:00Z,Fire,Critical,Admit summer win husband job just head.,Corrosion,2.7,rejected,hard rule failure: no_future_incidents
,SITE-004,,,62.8,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03302,2026-09-14T00:00:00Z,Near Miss,High,However contain yet minute time open least once administration task itself food north conference.,Material Fatigue,13.0,rejected,hard rule failure: no_future_incidents
,SITE-003,,,52.3,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02297,2026-09-15T00:00:00Z,Leak,Critical,Down different nothing rule fly off.,Material Fatigue,5.5,rejected,hard rule failure: no_future_incidents
,SITE-001,,,-5.0,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02991,2026-09-22T00:00:00Z,Leak,Low,Would campaign practice simple hospital any write run investment.,Corrosion,6.6,rejected,hard rule failure: no_future_incidents
,SITE-005,,,88.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01755,2026-09-06T00:00:00Z,Equipment Failure,,Reflect never here play population close since fight current expert.,Third-party Damage,5.0,rejected,hard rule failure: no_future_incidents
,SITE-004,,,87.3,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03020,2026-09-19T00:00:00Z,Near Miss,Low,Include anything design each sit forward budget nothing source I yes hand.,Operator Error,1.4,rejected,hard rule failure: no_future_incidents
,SITE-002,,,62.5,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02167,2026-07-28T00:00:00Z,Near Miss,High,Beyond standard small customer middle popular country record kitchen cell concern finally sister.,Valve Failure,4.4,rejected,hard rule failure: no_future_incidents
,SITE-001,,,94.3,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00059,2026-08-07T00:00:00Z,Near Miss,Low,Medical responsibility series author opportunity article.,Corrosion,8.8,rejected,hard rule failure: no_future_incidents
,SITE-003,,,32.2,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02233,2026-07-29T00:00:00Z,Spill,Critical,Film ground cultural line maintain remain significant letter one detail.,Sensor Malfunction,3.4,rejected,hard rule failure: no_future_incidents
,SITE-001,,,63.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00460,2026-09-10T00:00:00Z,Near Miss,Medium,Sister assume down his best threat see party deep.,,16.2,rejected,hard rule failure: no_future_incidents
,SITE-004,,,70.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00641,2026-12-07T00:00:00Z,Fire,,Continue theory recognize lead dog feeling growth any analysis themselves firm agree like institution product fill try develop.,Operator Error,10.3,rejected,hard rule failure: no_future_incidents
,SITE-003,,,66.3,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02264,2026-07-24T00:00:00Z,Spill,,Benefit world own the pattern any law level everything line feel spring task sign science.,Operator Error,8.5,rejected,hard rule failure: no_future_incidents
AUD-00419,SITE-002,2026-08-03T00:00:00Z,,84.5,Leak Detection,Expert quite house reason arm positive up by oil which system region bring order person commercial than on model across message rich.,Like trouble woman stand change.,Jesse Becker,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05539,SITE-005,2026-07-24T00:00:00Z,2025-04-19T00:00:00Z,79.6,Containment Integrity,Check woman still area something as anything quickly environment identify end buy hold mean.,Until Mrs quite analysis service realize.,Tanya Garza,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01152,SITE-001,2026-07-29T00:00:00Z,2025-10-07T00:00:00Z,69.8,Emergency Response,Court animal parent current prevent reflect perform contain message agree might list treat.,Tell tree section number not this travel house.,Jonathan Rodriguez,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02809,SITE-001,2026-08-08T00:00:00Z,2025-10-21T00:00:00Z,80.7,Documentation,Improve cell game clearly individual bar then north next quickly save.,Reality everyone put natural have little.,Elizabeth Grimes,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04104,SITE-003,2026-10-06T00:00:00Z,,56.8,Maintenance Backlog,You ever side involve debate year hand indeed prove single sure indicate yard drug control.,,Benjamin Wright,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05713,SITE-002,2026-09-01T00:00:00Z,,75.3,Safety Equipment,Mean student including tell data lead vote film worry top sell several fish four town will can force skin expert site then reality.,Here body easy deal fact.,Joshua Henderson,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04601,SITE-001,2026-09-17T00:00:00Z,2026-07-14T00:00:00Z,93.5,Leak Detection,Green shoulder federal them support from this possible father stand figure.,Sing success modern interesting figure worker happen area.,Catherine Nelson,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05554,SITE-005,2026-08-30T00:00:00Z,2025-06-09T00:00:00Z,88.0,Emergency Response,Hand marriage suddenly teach medical late take family expect poor general strong yeah deal growth.,,Hannah Fisher MD,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01461,SITE-005,2026-08-11T00:00:00Z,2024-05-06T00:00:00Z,93.5,Personnel Training,Put you treat song politics or continue occur him some more mind six increase vote that task.,Less game moment hour last control own protect card find Mr rest start carry.,Lauren Barrett,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00559,SITE-001,2026-08-13T00:00:00Z,2024-05-03T00:00:00Z,88.3,Containment Integrity,Deal western music area that which national sure good ten.,Degree majority rest industry claim knowledge mother fear local final carry listen care.,Rachel Strong,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08774,SITE-004,2026-08-19T00:00:00Z,,92.6,Leak Detection,Organization cut star break cause memory south computer poor everything right beyond color already through standard old box quality number job establish most today six color Congress.,Interview pattern also take care since list factor.,Jessica Blake,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07485,SITE-005,2026-07-31T00:00:00Z,2026-06-26T00:00:00Z,82.1,Emergency Response,Indeed law agree method choose present.,Recent manage Mrs away defense.,Janice Williams,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00177,SITE-006,2026-07-26T00:00:00Z,2026-03-09T00:00:00Z,25.6,Environmental Monitoring,Force what end song outside pick set voice performance rest manage once should.,And star indeed cell charge speech good.,Kenneth Calderon,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07077,SITE-001,2026-08-12T00:00:00Z,2025-12-29T00:00:00Z,94.6,Documentation,Could far why speak character family today Mr rather plant key still force attack particular eight lawyer cell.,Tonight party respond kid system look keep side guess safe.,Casey Ruiz,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02872,SITE-004,2026-12-05T00:00:00Z,,60.1,Documentation,Movie college participant perform although future continue study contain listen century task take up.,Such institution describe smile future carry word.,Stephen Floyd,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01542,SITE-005,2026-09-15T00:00:00Z,2024-08-08T00:00:00Z,86.8,Documentation,Oil across good training race drug risk not sea late sea campaign thought number among baby talk include authority little occur focus bed hot rate star.,Person require worry will throw Congress.,Matthew Fisher,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03875,SITE-005,2026-07-27T00:00:00Z,2025-03-21T00:00:00Z,89.3,Maintenance Backlog,Life growth carry walk laugh cup standard those ready rest attorney what change leader.,Individual party summer since want price bad fire company no model phone.,Patricia Perez,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00035,SITE-003,2026-09-18T00:00:00Z,,79.3,Environmental Monitoring,Course building girl item goal walk actually most together growth daughter safe bank street final.,Consider in notice scientist institution recent never to north benefit hotel consumer.,Robert Lowe,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03037,SITE-006,2026-07-24T00:00:00Z,2025-11-06T00:00:00Z,64.5,Emergency Response,After develop that develop natural friend use up land enough career.,Themselves always discuss sometimes weight clear necessary discover official.,Terry Klein,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00694,SITE-003,2026-08-13T00:00:00Z,2025-10-20T00:00:00Z,49.1,Leak Detection,Serious trip star section candidate rich.,Family board allow program professional together travel away movement phone establish miss such surface.,Tara Brown,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04721,SITE-004,2026-09-02T00:00:00Z,2024-09-06T00:00:00Z,80.1,Environmental Monitoring,Item able interest letter instead by machine arrive week collection consider almost yet sea forget them view recent head would produce.,Help write know south sound simple fall play way traditional.,Leslie Rocha,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05556,SITE-002,2026-08-27T00:00:00Z,2026-07-18T00:00:00Z,80.9,Containment Integrity,Second get science its science suffer must position two great plan thousand then that figure former.,,Derek Lowery,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05992,SITE-002,2026-08-30T00:00:00Z,2024-11-21T00:00:00Z,82.0,Leak Detection,Personal institution carry happen stand night chair character soon politics class stand.,Agency draw general change however.,Samantha Steele,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00372,SITE-003,2026-08-05T00:00:00Z,2026-10-04T00:00:00Z,70.1,Environmental Monitoring,Investment pull near writer follow weight more page investment by small become share difficult citizen job approach institution quite prepare.,,Connie Fuller,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05734,SITE-004,2026-09-20T00:00:00Z,,87.1,Maintenance Backlog,Only standard building hold sure edge image cost federal.,Ground edge total sister win.,Bethany Perez,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06659,SITE-006,2026-07-29T00:00:00Z,2025-11-18T00:00:00Z,47.2,Emergency Response,Girl rest claim member much response gun none feeling.,,Kristi Hernandez,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01931,SITE-003,2026-08-18T00:00:00Z,,15.2,Leak Detection,Address range direction chance paper have raise.,Measure rock mouth without level finish into offer adult too action skill mind security.,Crystal Buchanan,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08384,SITE-002,2026-08-28T00:00:00Z,2025-01-31T00:00:00Z,61.5,Maintenance Backlog,Official six law might far forget style couple figure conference final he dark.,Garden environment executive another identify move hot student somebody special senior.,Jessica Ruiz,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07574,SITE-005,2026-08-25T00:00:00Z,,85.2,Leak Detection,Pick necessary unit memory edge choice of force there poor young space before success stage situation arm body line personal account nice into.,Rise build professional address effect wait tax main hear that speak parent.,Lindsay Zamora,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02995,SITE-003,2026-08-07T00:00:00Z,,56.1,Leak Detection,Worry condition evening each share attention rich high art he.,Base enter never very else Republican social offer.,Carrie Davis,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02883,SITE-001,2026-07-24T00:00:00Z,2025-03-26T00:00:00Z,80.1,Maintenance Backlog,But identify ability information arm line window list pretty compare surface recently beyond.,Thought second trip off total system.,Maria Phillips,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05968,SITE-006,2026-09-20T00:00:00Z,2024-06-27T00:00:00Z,72.2,Personnel Training,Organization information condition behind paper senior economic three summer responsibility cost any dark tell few administration.,Model training goal experience.,Lisa Anderson,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03800,SITE-001,2026-11-02T00:00:00Z,2026-02-25T00:00:00Z,81.9,Emergency Response,Among so campaign most social prevent.,True major likely song already offer watch pretty.,Nancy Paul,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00709,SITE-006,2026-09-18T00:00:00Z,,70.7,Maintenance Backlog,Off affect plan yourself raise interest himself must whatever represent main enough catch.,Southern market account choice after process.,Hunter Mora,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05588,SITE-006,2026-08-13T00:00:00Z,2026-09-26T00:00:00Z,64.6,Leak Detection,Current draw safe know.,Method paper herself shoulder suddenly difficult tax piece you focus themselves huge last.,Brandon Griffin,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03729,SITE-005,2026-08-07T00:00:00Z,2025-09-09T00:00:00Z,79.6,Leak Detection,Opportunity especially north animal prepare long world technology determine investment health sound look give look around night will.,Instead war yeah out already how color for spend husband economy.,Jessica Rios,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04490,SITE-001,2026-09-14T00:00:00Z,2024-12-25T00:00:00Z,71.9,Personnel Training,Help new technology sometimes but trade program he.,Mrs phone like hundred according whom the general although answer pressure.,Yesenia Crawford,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
